Ссылка,Метро,Время до метро,Количество комнат,Общая площадь,Жилая площадь,Этаж,Этажность дома,Срок сдачи,Тип жилья,Высота потолков,Ванная,Вид из окна,Цена
https://www.cian.ru/sale/flat/256428163/,Савеловская,17.0,3.0,92.4,46.5,11,14,2021.0,Вторичка,,2 совмещенных,На улицу и двор,22000000
https://www.cian.ru/sale/flat/256186202/,Прокшино,11.0,1.0,23.7,,2,16,2023.0,Новостройка,2.8,,,5369515
https://www.cian.ru/sale/flat/255487772/,Шелепиха,2.0,2.0,67.9,27.0,42,51,2019.0,Новостройка,3.0,2 раздельных,,27567400
https://www.cian.ru/sale/flat/255642447/,Бауманская,2.0,1.0,66.2,,4,12,2021.0,Новостройка Апартаменты,,,,25039157
https://www.cian.ru/sale/flat/247027778/,Киевская,3.0,5.0,280.8,127.0,10,12,2010.0,Вторичка,3.2,4 совмещенных,На улицу и двор,280000000
https://www.cian.ru/sale/flat/205218432/,Парк Победы,4.0,4.0,149.7,,11,53,2009.0,Вторичка,3.2,2 совмещенных,На улицу и двор,65000000
https://www.cian.ru/sale/flat/253333110/,Савеловская,1.0,3.0,76.3,51.0,5,9,1939.0,Вторичка,3.0,1 раздельный,На улицу и двор,21700000
https://www.cian.ru/sale/flat/229471553/,Выставочная,3.0,2.0,84.4,,46,68,2020.0,Новостройка Апартаменты,,,,47517200
https://www.cian.ru/sale/flat/255552976/,Верхние Лихоборы,1.0,2.0,42.1,26.9,20,24,2021.0,Новостройка,,,Во двор,13400000
https://www.cian.ru/sale/flat/244629704/,Кропоткинская,6.0,,256.0,,8,9,2002.0,Вторичка,,3 совмещенных,На улицу и двор,299000000
https://www.cian.ru/sale/flat/151522625/,Парк Победы,11.0,4.0,165.0,115.0,39,50,,Вторичка,,,,128628215
https://www.cian.ru/sale/flat/249561831/,Волоколамская,1.0,2.0,59.6,36.0,8,17,,Вторичка,2.7,1 раздельный,На улицу и двор,13990000
https://www.cian.ru/sale/flat/255984703/,Щелковская,20.0,2.0,50.0,32.0,4,9,1967.0,Вторичка,2.64,1 раздельный,,10500000
https://www.cian.ru/sale/flat/256455251/,Южная,4.0,3.0,67.0,41.0,6,16,1980.0,Вторичка,2.64,1 раздельный,На улицу,17100000
https://www.cian.ru/sale/flat/229471410/,Выставочная,3.0,3.0,101.6,,54,68,2020.0,Новостройка Апартаменты,,1 совмещенный,На улицу,57505600
https://www.cian.ru/sale/flat/244123950/,Тургеневская,2.0,5.0,121.5,,4,6,1902.0,Вторичка,3.1,2 раздельных,,49900000
https://www.cian.ru/sale/flat/228824973/,Славянский бульвар,12.0,,320.0,164.0,1,7,,Вторичка,,4 совмещенных,На улицу и двор,374308500
https://www.cian.ru/sale/flat/168147169/,Белорусская,8.0,1.0,36.0,20.0,7,12,1966.0,Вторичка,2.7,1 совмещенный,,12950000
https://www.cian.ru/sale/flat/255411452/,Бабушкинская,20.0,1.0,32.0,21.0,4,9,1963.0,Вторичка,,1 совмещенный,Во двор,6800000
